cost_id,employee_id,cost_date,amount,status,department,sub_department,loaded_at
1001,1,2026-06-03,120000,approved,Разработка,Backend,2026-06-03 10:15:00
1002,2,2026-06-04,85000,approved,Разработка,QA,2026-06-04 11:10:00
1003,3,2026-06-05,78000,approved,Разработка,QA,2026-06-05 09:20:00
1004,4,2026-06-06,95000,approved,Проектирование и дизайн,UX/UI,2026-06-06 12:05:00
1005,5,2026-06-08,110000,approved,Продуктовая аналитика,Продуктовая аналитика,2026-06-08 16:40:00
1006,6,2026-06-09,90000,approved,Менеджмент,Проектный менеджмент,2026-06-09 10:00:00
1007,7,2026-06-10,105000,approved,Разработка,Frontend,2026-06-10 13:25:00
1008,8,2026-06-11,98000,approved,Разработка,Mobile,2026-06-11 14:30:00
1009,9,2026-06-12,88000,approved,Проектирование и дизайн,Системная аналитика,2026-06-12 09:45:00
1010,10,2026-06-15,115000,approved,Разработка,Backend,2026-06-15 15:10:00
1011,2,2026-06-16,20000,cancelled,Разработка,QA,2026-06-16 10:05:00
1012,3,2026-06-18,40000,approved,Разработка,QA,2026-06-20 09:00:00
1012,3,2026-06-18,45000,approved,Разработка,QA,2026-06-25 18:30:00
1013,999,2026-06-20,32000,approved,Разработка,Backend,2026-06-20 12:00:00
1014,4,2026-06-22,25000,approved,Проектирование и дизайн,,2026-06-22 11:20:00
1015,9,2026-06-25,50000,approved,Разработка,Системная аналитика,2026-06-25 17:45:00
1016,1,2026-07-01,27000,approved,Разработка,Backend,2026-07-01 08:10:00
1017,1,2026-07-03,125000,approved,Разработка,Backend,2026-07-03 10:10:00
1018,2,2026-07-04,87000,approved,Разработка,QA,2026-07-04 11:15:00
1019,4,2026-07-06,97000,approved,Проектирование и дизайн,UX/UI,2026-07-06 12:20:00
1020,5,2026-07-08,112000,approved,Продуктовая аналитика,Продуктовая аналитика,2026-07-08 13:25:00
1021,6,2026-07-09,92000,approved,Менеджмент,Проектный менеджмент,2026-07-09 14:30:00
1022,7,2026-07-10,108000,approved,Разработка,Frontend,2026-07-10 15:35:00
1023,8,2026-07-11,100000,approved,Разработка,Mobile,2026-07-11 16:40:00
1024,9,2026-07-12,90000,approved,Проектирование и дизайн,Системная аналитика,2026-07-12 17:45:00
1025,10,2026-07-15,118000,approved,Разработка,Backend,2026-07-15 09:50:00
1026,3,2026-07-17,80000,approved,Разработка,QA,2026-07-17 10:55:00
1027,2,2026-07-20,25000,cancelled,Разработка,QA,2026-07-20 12:00:00
