report_month,department,sub_department,total_amount
2026-06-01,Разработка,Backend,262000
2026-06-01,Разработка,QA,248000
2026-06-01,Разработка,Frontend,105000
2026-06-01,Разработка,Mobile,98000
2026-06-01,Разработка,Не определён,15000
2026-06-01,Проектирование и дизайн,UX/UI,95000
2026-06-01,Проектирование и дизайн,Системная аналитика,138000
2026-06-01,Продуктовая аналитика,Продуктовая аналитика,110000
2026-06-01,Менеджмент,Проектный менеджмент,90000
2026-07-01,Разработка,Backend,270000
2026-07-01,Разработка,QA,167000
2026-07-01,Разработка,Frontend,108000
2026-07-01,Разработка,Mobile,100000
2026-07-01,Проектирование и дизайн,UX/UI,97000
2026-07-01,Проектирование и дизайн,Системная аналитика,90000
2026-07-01,Продуктовая аналитика,Продуктовая аналитика,112000
2026-07-01,Менеджмент,Проектный менеджмент,92000
